Sample_ID;Site;Country;Region;Stream;Vegetation;Mesh;LeafLeafLeaf;MonoMix;LeafLeaf;EA_N_Percent_corr;EA_C_Percent_corr;molar_CN;log_molar_CN;N_Loss;C_Loss;Fungal_Biom_Leaf_mgg_noRR_1;k_corr1;Delta15_N_Air;Delta13_C_VPDB;Delta_logCN_abs;ID;Group
TG1F36;TG1F;Switzerland;North;TG1;forested;Fine;Ash;Mix;AshMix;2.72;43.99;18.86047236;2.937068322;12.62594652;47.60847025;113.4117796;0.006322858;1.39;-30.79;-0.536362678;TG1F36AshMix;MixforestedFine
TI4F370;TI4F;Switzerland;South;TI4;forested;Fine;Alder;Mix;AlderMix;3.03;47.84;18.41263949;2.913037358;1.593194339;31.16881384;NA;0.003863289;-1.74;-29.42;-0.358848642;TI4F370AlderMix;MixforestedFine
TI4F370;TI4F;Switzerland;South;TI4;forested;Fine;Ash;Mix;AshMix;2.55;44.32;20.26875526;3.009080551;7.044038155;40.09951241;72.52793542;0.005927235;-1.66;-30.45;-0.464350449;TI4F370AshMix;MixforestedFine
TI4F371;TI4F;Switzerland;South;TI4;forested;Fine;Alder;Mix;AlderMix;2.93;48.39;19.25996569;2.958028625;8.531822457;33.07789323;58.7314695;0.00428991;-1.64;-29.48;-0.313857375;TI4F371AlderMix;MixforestedFine
TI4F371;TI4F;Switzerland;South;TI4;forested;Fine;Ash;Mix;AshMix;2.81;45.77;18.99512256;2.944182239;5.755090245;43.08509272;77.59211926;0.006825803;-1.65;-30.13;-0.529248761;TI4F371AshMix;MixforestedFine
TI4F372;TI4F;Switzerland;South;TI4;forested;Fine;Alder;Mix;AlderMix;3.03;47.62;18.32796598;2.908428089;6.043355578;34.58372097;74.07146667;0.004362359;-1.78;-29.3;-0.363457911;TI4F372AlderMix;MixforestedFine
TI4F372;TI4F;Switzerland;South;TI4;forested;Fine;Ash;Mix;AshMix;2.7;44.57;19.25069341;2.957547081;15.31877916;48.17258862;93.9943546;0.007549124;-1.54;-30.73;-0.515883919;TI4F372AshMix;MixforestedFine
TI4F373;TI4F;Switzerland;South;TI4;forested;Coarse;Alder;Mono;AlderMono;2.97;45.39;17.82260742;2.880467731;17.84196097;44.37559545;88.14248951;0.005593823;-1.39;-29.71;-0.391418269;TI4F373AlderMono;MonoforestedCoarse
TI4F374;TI4F;Switzerland;South;TI4;forested;Coarse;Alder;Mono;AlderMono;3.02;48.1;18.57400854;2.921763213;11.69046271;37.69006197;78.28742734;0.00499519;-1.36;-28.91;-0.350122787;TI4F374AlderMono;MonoforestedCoarse
TI4F375;TI4F;Switzerland;South;TI4;forested;Coarse;Alder;Mono;AlderMono;3.21;49.41;17.95053219;2.887619763;7.631951673;37.0141252;81.44181056;0.005168617;-1.25;-28.69;-0.384266237;TI4F375AlderMono;MonoforestedCoarse
TI4F376;TI4F;Switzerland;South;TI4;forested;Coarse;Alder;Mono;AlderMono;3.1;47.82;17.98934643;2.889779718;15.56644888;42.30017315;81.12679536;0.005761199;-1.5;-29.25;-0.382106282;TI4F376AlderMono;MonoforestedCoarse
TI4F377;TI4F;Switzerland;South;TI4;forested;Coarse;Ash;Mono;AshMono;2.88;46.71;18.91406543;2.939905848;47.2722124;68.29334216;127.3444415;0.013354323;-1.49;-30.96;-0.533525152;TI4F377AshMono;MonoforestedCoarse
TI4F378;TI4F;Switzerland;South;TI4;forested;Coarse;Ash;Mono;AshMono;2.79;45.21;18.89721531;2.939014573;28.45639249;57.01720265;121.0414414;0.009720874;-1.37;-30.9;-0.534416427;TI4F378AshMono;MonoforestedCoarse
TI4F379;TI4F;Switzerland;South;TI4;forested;Coarse;Ash;Mono;AshMono;2.7;41.71;18.01540099;2.891227003;12.88549225;50.10460675;95.04806419;0.007243603;-1.48;-30.4;-0.582203997;TI4F379AshMono;MonoforestedCoarse
TG1F37;TG1F;Switzerland;North;TG1;forested;Coarse;Alder;Mono;AlderMono;2.62;44.58;19.84295193;2.987848878;44.82181191;58.40723572;95.15666707;0.007401254;1.61;-29.08;-0.284037122;TG1F37AlderMono;MonoforestedCoarse
TI4F380;TI4F;Switzerland;South;TI4;forested;Coarse;Ash;Mono;AshMono;2.65;44.48;19.57430775;2.974217877;31.479354;57.35836085;98.72205664;0.009631256;-1.17;-30.63;-0.499213123;TI4F380AshMono;MonoforestedCoarse
TI4F381;TI4F;Switzerland;South;TI4;forested;Coarse;Alder;Mix;AlderMix;3.11;48.64;18.23898578;2.903561379;15.95886047;41.77135469;64.68040658;0.00584617;-1.36;-28.93;-0.368324621;TI4F381AlderMix;MixforestedCoarse
TI4F381;TI4F;Switzerland;South;TI4;forested;Coarse;Ash;Mix;AshMix;2.65;44.41;19.54350286;2.972642897;20.5100657;50.60982391;122.7054165;0.008029805;-1.72;-30.81;-0.500788103;TI4F381AshMix;MixforestedCoarse
TI4F382;TI4F;Switzerland;South;TI4;forested;Coarse;Alder;Mix;AlderMix;2.97;48.04;18.86314299;2.937209912;15.29839352;39.30543915;76.81308659;0.005265004;-1.75;-28.93;-0.334676088;TI4F382AlderMix;MixforestedCoarse
TI4F382;TI4F;Switzerland;South;TI4;forested;Coarse;Ash;Mix;AshMix;2.4;41.29;20.06324371;2.99888947;31.27202104;56.16098864;110.6527792;0.008530024;-1.34;-30.53;-0.47454153;TI4F382AshMix;MixforestedCoarse
TI4F383;TI4F;Switzerland;South;TI4;forested;Coarse;Alder;Mix;AlderMix;2.84;44.16;18.13335785;2.897753217;17.91449814;43.45570949;86.88455532;0.005120656;-1.44;-29.76;-0.374132783;TI4F383AlderMix;MixforestedCoarse
TI4F383;TI4F;Switzerland;South;TI4;forested;Coarse;Ash;Mix;AshMix;2.49;40.37;18.90718657;2.939542092;27.93864928;56.68330254;107.6413042;0.008416275;-1.11;-30.37;-0.533888908;TI4F383AshMix;MixforestedCoarse
TI4F384;TI4F;Switzerland;South;TI4;forested;Coarse;Alder;Mix;AlderMix;3.45;49.1;16.59701187;2.809222671;1.521096654;37.91064084;73.94866869;0.005255347;-1.55;-29.79;-0.462663329;TI4F384AlderMix;MixforestedCoarse
TI4F384;TI4F;Switzerland;South;TI4;forested;Coarse;Ash;Mix;AshMix;2.58;45.54;20.58452395;3.024539529;26.82885678;52.11420543;110.8145601;0.008634375;-1.25;-29.79;-0.448891471;TI4F384AshMix;MixforestedCoarse
TG1F38;TG1F;Switzerland;North;TG1;forested;Coarse;Alder;Mono;AlderMono;3.12;46.42;17.3507419;2.853635266;12.49418682;42.32348331;74.63269776;0.004722004;-0.27;-29.48;-0.418250734;TG1F38AlderMono;MonoforestedCoarse
TG1F39;TG1F;Switzerland;North;TG1;forested;Coarse;Alder;Mono;AlderMono;3;47.37;18.41406354;2.913114696;25.36502889;47.79211789;NA;0.00584312;-0.18;-28.99;-0.358771304;TG1F39AlderMono;MonoforestedCoarse
TG1A3;TG1A;Switzerland;North;TG1;non-forested;Fine;Alder;Mono;AlderMono;3.13;44.31;16.50915785;2.803915248;3.446391016;39.44674397;64.79119715;0.003480838;-0.33;-29.94;-0.467970752;TG1A3AlderMono;Mononon-forestedFine
TG1F40;TG1F;Switzerland;North;TG1;forested;Coarse;Alder;Mono;AlderMono;3.08;45.52;17.23530782;2.84696006;29.92988002;54.12289816;92.37390025;0.006679501;-0.1;-29.27;-0.42492594;TG1F40AlderMono;MonoforestedCoarse
TG1F41;TG1F;Switzerland;North;TG1;forested;Coarse;Ash;Mono;AshMono;2.63;42;18.62348911;2.92442364;26.35218613;56.39393085;88.26058098;0.007606523;0.75;-30.36;-0.54900736;TG1F41AshMono;MonoforestedCoarse
TG1F42;TG1F;Switzerland;North;TG1;forested;Coarse;Ash;Mono;AshMono;2.71;43.65;18.78375715;2.932992515;61.35143499;76.91967776;97.71140894;0.013917017;0.26;-30.4;-0.540438485;TG1F42AshMono;MonoforestedCoarse
TG1F43;TG1F;Switzerland;North;TG1;forested;Coarse;Ash;Mono;AshMono;2.78;42.18;17.69413298;2.873233115;47.72742703;70.59445762;126.9674502;0.011331468;0.75;-30.72;-0.600197885;TG1F43AshMono;MonoforestedCoarse
TG1F44;TG1F;Switzerland;North;TG1;forested;Coarse;Ash;Mono;AshMono;2.29;40.63;20.69087455;3.02969276;66.66033086;78.06860975;83.17949392;0.01372403;0.74;-30.39;-0.44373824;TG1F44AshMono;MonoforestedCoarse
TG1F45;TG1F;Switzerland;North;TG1;forested;Coarse;Alder;Mix;AlderMix;2.86;45.58;18.58556616;2.922385266;56.7355668;69.45424368;77.83278972;0.010495799;0.09;-29.42;-0.349500734;TG1F45AlderMix;MixforestedCoarse
TG1F45;TG1F;Switzerland;North;TG1;forested;Coarse;Ash;Mix;AshMix;2.4;42.68;20.73865928;3.031999556;54.58087465;70.05354127;81.15421144;0.011271204;0.73;-30.45;-0.441431444;TG1F45AshMix;MixforestedCoarse
TG1F46;TG1F;Switzerland;North;TG1;forested;Coarse;Alder;Mix;AlderMix;2.93;44.6;17.75148729;2.876469303;14.45363237;42.31267661;54.21230739;0.004346191;-0.42;-30.24;-0.395416697;TG1F46AlderMix;MixforestedCoarse
TG1F46;TG1F;Switzerland;North;TG1;forested;Coarse;Ash;Mix;AshMix;2.86;45.4;18.51216989;2.918428348;7.529669816;45.57658805;71.94127915;0.00626207;0.52;-30.22;-0.555002652;TG1F46AshMix;MixforestedCoarse
TG1F47;TG1F;Switzerland;North;TG1;forested;Coarse;Alder;Mix;AlderMix;2.99;47.64;18.58095673;2.922137224;25.65845165;47.52605167;95.04832043;0.005848735;0.06;-28.53;-0.349748776;TG1F47AlderMix;MixforestedCoarse
TG1F47;TG1F;Switzerland;North;TG1;forested;Coarse;Ash;Mix;AshMix;2.67;42.99;18.77689126;2.932626926;61.1545031;76.81055246;94.98658493;0.013730413;0.34;-30.5;-0.540804074;TG1F47AshMix;MixforestedCoarse
TG1F48;TG1F;Switzerland;North;TG1;forested;Coarse;Alder;Mix;AlderMix;2.9;46.67;18.76753828;2.93212869;35.51542751;54.02653849;121.7423495;0.006893217;1.51;-29.43;-0.33975731;TG1F48AlderMix;MixforestedCoarse
TG1F48;TG1F;Switzerland;North;TG1;forested;Coarse;Ash;Mix;AshMix;2.34;42.04;20.95146315;3.042208484;60.51230621;73.69718941;87.35941086;0.012343231;0.53;-30.02;-0.431222516;TG1F48AshMix;MixforestedCoarse
TG2A49;TG2A;Switzerland;North;TG2;non-forested;Fine;Alder;Mono;AlderMono;2.7;45.11;19.48393044;2.969590046;10.384893;33.67124169;54.03951239;0.003338413;-1.18;-29.85;-0.302295954;TG2A49AlderMono;Mononon-forestedFine
TG1A4;TG1A;Switzerland;North;TG1;non-forested;Fine;Alder;Mono;AlderMono;2.86;44.49;18.14111098;2.898180687;10.33917296;38.21106783;90.50184817;0.003343655;-0.09;-29.72;-0.373705313;TG1A4AlderMono;Mononon-forestedFine
TG2A50;TG2A;Switzerland;North;TG2;non-forested;Fine;Alder;Mono;AlderMono;2.75;45.26;19.19328726;2.954560596;8.195689004;33.0645006;59.65593802;0.003281008;-0.95;-29.6;-0.317325404;TG2A50AlderMono;Mononon-forestedFine
TG2A51;TG2A;Switzerland;North;TG2;non-forested;Fine;Alder;Mono;AlderMono;3.18;43.86;16.08455369;2.777859414;2.757649699;40.58329951;48.07396611;0.004151407;-0.92;-30.84;-0.494026586;TG2A51AlderMono;Mononon-forestedFine
TG2A52;TG2A;Switzerland;North;TG2;non-forested;Fine;Alder;Mono;AlderMono;2.45;42.83;20.38682043;3.014888634;16.26132258;35.148554;45.47709085;0.003047323;-1.23;-30.04;-0.256997366;TG2A52AlderMono;Mononon-forestedFine
TG2A53;TG2A;Switzerland;North;TG2;non-forested;Fine;Ash;Mono;AshMono;2.07;39.73;22.38286767;3.10829583;26.19212824;47.47761491;62.55752213;0.005672034;-0.32;-29.94;-0.36513517;TG2A53AshMono;Mononon-forestedFine
TG2A54;TG2A;Switzerland;North;TG2;non-forested;Fine;Ash;Mono;AshMono;2.1;42.44;23.56804659;3.159891836;22.88002587;42.214817;53.66885712;0.005379284;-0.26;-30.15;-0.313539164;TG2A54AshMono;Mononon-forestedFine
TG2A55;TG2A;Switzerland;North;TG2;non-forested;Fine;Ash;Mono;AshMono;2.42;43.34;20.8853159;3.039046323;15.48441168;43.88177871;57.91802936;0.005877878;-0.45;-30.43;-0.434384677;TG2A55AshMono;Mononon-forestedFine
TG2A56;TG2A;Switzerland;North;TG2;non-forested;Fine;Ash;Mono;AshMono;2.4;42.58;20.69006823;3.02965379;11.25629077;41.62518332;54.44816913;0.005311237;-0.63;-30.61;-0.44377721;TG2A56AshMono;Mononon-forestedFine
TG2A57;TG2A;Switzerland;North;TG2;non-forested;Fine;Alder;Mix;AlderMix;2.97;43.35;17.02159135;2.834482618;-2.538406414;33.69736434;55.28843721;0.002947493;-0.91;-30.07;-0.437403382;TG2A57AlderMix;Mixnon-forestedFine
TG2A57;TG2A;Switzerland;North;TG2;non-forested;Fine;Ash;Mix;AshMix;2.46;42.99;20.37979661;3.014544048;4.838381995;38.34224711;91.19591808;0.004863489;-0.1;-30.34;-0.458886952;TG2A57AshMix;Mixnon-forestedFine
TG2A58;TG2A;Switzerland;North;TG2;non-forested;Fine;Alder;Mix;AlderMix;2.94;42.81;16.98108379;2.832100006;-3.928153855;32.95865991;NA;0.002713212;-1;-29.73;-0.439785994;TG2A58AlderMix;Mixnon-forestedFine
